Region,Station,Longitude,Latitude
AECI,2BEVIER,-91.6807,40.4079
AECI,2BLLMYTP,-94.32,37.68
AECI,2CHILCTY,-93.5199,39.8333
AECI,2CNTRSW,-91.528,39.5036
AECI,2CROSRD,-91.6807,40.4079
AECI,2HYDSBR,-91.6807,40.4079
AECI,2LAMRCTS,-94.38,37.54
AECI,2MACNLK,-92.4639,39.7427
AECI,2MACNTP,-92.46,39.74
AECI,2MADSNT,-91.53,39.48
AECI,2MADSNV,-91.4608,39.4519
AECI,2MDSAPL,-91.5434,39.4591
AECI,2MDSAPT,-91.5434,39.4591
AECI,2MTNGRVN,-92.2439,37.1898
AECI,2NCAMBR,-92.7801,39.7871
AECI,2PRATHR,-92.25,39.07
AECI,2SHLBTP,-92.04,39.79
AECI,2VANCTY,-91.49,39.31
AECI,2VANDNE,-91.4797,39.3195
AECI,2VANDTP,-91.4959,39.2934
AECI,5CHOTEAU,-95.2772,36.222
AECI,5HYDERHL,-93.63,37.75
AECI,5OSBORN,-94.38,39.83
AECI,5SPALDNG,-91.6807,40.4079
AECI,FRKS,-92.0299,37.9517
AECI,HALLSVL,-92.14,39.14
AECI,HENRY_NE,-91.54,40.93
AECI,HENRY_NE,-91.5389,40.9238
AECI,HUBEN,-92.7628,37.5826
AECI,KENOMA,-94.14,37.48
AECI,MAC3SHTP,-91.6432,39.5269
AECI,MCC2,-91.9802,38.9799
AECI,MILO,-94.35,37.78
AECI,MOB_TAP,-92.4837,39.4246
AECI,MRGN_345,-93.62,37.49
AECI,NEW_MAD,-89.5676,36.5157
AECI,NMCOAL,-89.68,36.52
AECI,NMCOAL,-89.5676,36.5157
AECI,ROCKYEXP,-91.6807,40.4079
AECI,ST_FRAN,-90.1789,36.5872
AECI,STKAEC,-93.7694,37.6941
AECI,STROUDST,-97,35.66
AECI,TH_HILL,-92.6393,39.5481
AECI,TH_HILL,-92.6409,39.5448
AECI,WHSP_OAK,-92.75,37.79
AECI,WPLAIN2,-91.8814,36.696
AECI,_TIPTON,-92.1136,39.3707
AECI,_WRIGHT,-90.9926,38.7382
AECI,2BUELL,-91.6684,38.3409
AECI,2CNTRLA,-92.2668,39.2543
AECI,2LARABE,-91.1279,38.7613
AECI,2MEISTR,-91.0112,38.988
AECI,5SEDALTP,-93.204,38.7237
AECI,ASHLAND,-92.2481,38.7989
AECI,BARN,-92.6063,38.3796
AECI,BAY,-91.3288,38.4095
AECI,BEAMAN,-93.1131,38.6924
AECI,BEEMONT,-91.4143,38.4597
AECI,BERGER,-91.3746,38.6695
